Local Time,Device Name,deveui,Freq[Hz],BW(kHz),channel,coderate,RSSI(dBm),snrSNR(dB),SF,Temperature (F),Humidity (%),dr,fcnt,Jamming
2/2/2023 15:32,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-64,12.2,10,68.54,26.89,0,12302,1
2/2/2023 15:33,Mote05,qGEKMzA3fwE=,904100000,125,1,4/5,-65,9,10,69.12,25.3,0,161,1
2/2/2023 15:33,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-69,12,10,69.01,26.73,0,14315,1
2/2/2023 15:34,Mote04,qGEKNDBFiQo=,904900000,125,5,4/5,-61,12.5,10,69.08,24.55,0,13662,1
2/2/2023 15:34,Mote01,qGEKMzVBjAY=,904900000,125,5,4/5,-76,11,10,68.94,24.86,0,14177,1
2/2/2023 15:34,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-68,12,10,68.95,26.59,0,14316,1
2/2/2023 15:35,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-60,9.8,10,69.08,24.42,0,13663,1
2/2/2023 15:35,Mote02,qGEKNDExiAs=,905300000,125,7,4/5,-67,13.2,10,68.54,26.78,0,12304,1
2/2/2023 15:35,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-60,7.2,10,68.56,26.81,0,12305,1
2/2/2023 15:36,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-63,9.8,10,69.06,24.34,0,13664,1
2/2/2023 15:36,Mote01,qGEKMzVBjAY=,905300000,125,7,4/5,-85,11.2,10,68.92,24.55,0,14179,1
2/2/2023 15:37,Mote03,qGEKNDQkZg8=,904100000,125,1,4/5,-72,12,10,68.94,26.34,0,14318,1
2/2/2023 15:37,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-57,9.5,10,69.04,24.29,0,13665,1
2/2/2023 15:37,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-87,11.2,10,68.88,24.56,0,14180,1
2/2/2023 15:37,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-64,10,10,69.03,24.89,0,165,1
2/2/2023 15:38,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-63,11.5,10,68.5,26.88,0,12307,1
2/2/2023 15:38,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-60,9.8,10,69.04,24.34,0,13666,1
2/2/2023 15:38,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-82,12.5,10,68.83,24.79,0,14181,1
2/2/2023 15:39,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-64,12.2,10,68.5,26.97,0,12308,1
2/2/2023 15:39,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-69,8.8,10,69.03,25.28,0,167,1
2/2/2023 15:39,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-58,9.8,10,69.04,24.42,0,13667,1
2/2/2023 15:39,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-70,11.8,10,68.95,26.59,0,14321,1
2/2/2023 15:39,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-62,11.5,10,68.5,26.97,0,12309,1
2/2/2023 15:40,Mote04,qGEKNDBFiQo=,905300000,125,7,4/5,-63,10.8,10,69.04,24.5,0,13668,1
2/2/2023 15:40,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-84,11,10,68.76,25.05,0,14183,1
2/2/2023 15:40,Mote05,qGEKMzA3fwE=,904900000,125,5,4/5,-65,9.5,10,68.99,25.36,0,168,1
2/2/2023 15:41,Mote03,qGEKNDQkZg8=,905300000,125,7,4/5,-71,11.5,10,68.88,26.73,0,14322,1
2/2/2023 15:41,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-65,12.5,10,68.5,26.96,0,12310,1
2/2/2023 15:41,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-90,7.5,10,68.76,25,0,14184,1
2/2/2023 15:41,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-73,11,10,69.01,25.3,0,169,1
2/2/2023 15:42,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-61,7.5,10,69.03,24.54,0,13670,1
2/2/2023 15:42,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-85,9.2,10,68.76,24.88,0,14185,1
2/2/2023 15:42,Mote03,qGEKNDQkZg8=,904900000,125,5,4/5,-69,12.2,10,68.79,26.69,0,14324,1
2/2/2023 15:43,Mote02,qGEKNDExiAs=,904900000,125,5,4/5,-62,12.8,10,68.47,26.85,0,12312,1
2/2/2023 15:43,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-59,9,10,69.03,24.44,0,13671,1
2/2/2023 15:44,Mote03,qGEKNDQkZg8=,904100000,125,1,4/5,-69,10,10,68.76,26.43,0,14326,1
2/2/2023 15:44,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-69,6.5,10,68.9,24.93,0,172,1
2/2/2023 15:44,Mote01,qGEKMzVBjAY=,904100000,125,1,4/5,-82,11,10,68.74,24.6,0,14187,1
2/2/2023 15:44,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-67,7.8,10,68.76,26.43,0,14326,1
2/2/2023 15:45,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-69,10.5,10,68.9,24.89,0,173,1
2/2/2023 15:45,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-83,10.2,10,68.77,24.57,0,14188,1
2/2/2023 15:46,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-61,12.5,10,68.43,26.46,0,12315,1
2/2/2023 15:46,Mote04,qGEKNDBFiQo=,904900000,125,5,4/5,-61,9.5,10,69.01,24.17,0,13674,1
2/2/2023 15:46,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-71,10.5,10,68.92,24.91,0,174,1
2/2/2023 15:47,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-69,13,10,68.7,26.4,0,14328,1
2/2/2023 15:47,Mote01,qGEKMzVBjAY=,905300000,125,7,4/5,-90,11.2,10,68.72,24.5,0,14190,1
2/2/2023 15:47,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-71,11.5,10,68.92,24.84,0,175,1
2/2/2023 15:47,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-68,12.5,10,68.72,26.38,0,14329,1
2/2/2023 15:48,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-64,12,10,68.43,26.4,0,12317,1
2/2/2023 15:48,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-61,9.8,10,68.97,24.11,0,13676,1
2/2/2023 15:48,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-68,12,10,68.72,26.3,0,14330,1
2/2/2023 15:48,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-66,8.8,10,68.86,24.84,0,176,1
2/2/2023 15:49,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-59,9.5,10,68.97,24.02,0,13677,1
2/2/2023 15:49,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-78,11.2,10,68.74,24.45,0,14192,1
2/2/2023 15:49,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-65,8.2,10,68.74,26.24,0,14331,1
2/2/2023 15:50,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-63,12.2,10,68.43,26.36,0,12319,1
2/2/2023 15:50,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-82,8.5,10,68.72,24.6,0,14193,1
2/2/2023 15:51,Mote02,qGEKNDExiAs=,905300000,125,7,4/5,-67,13.5,10,68.4,26.47,0,12320,1
2/2/2023 15:51,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-87,12,10,68.72,24.54,0,14194,1
2/2/2023 15:51,Mote05,qGEKMzA3fwE=,904100000,125,1,4/5,-65,8,10,68.94,24.82,0,179,1
2/2/2023 15:51,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-61,10.2,10,68.99,24.09,0,13679,1
2/2/2023 15:52,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-71,14,10,68.9,26.18,0,14333,1
2/2/2023 15:52,Mote05,qGEKMzA3fwE=,904900000,125,5,4/5,-67,11.2,10,68.94,25.25,0,180,1
2/2/2023 15:52,Mote01,qGEKMzVBjAY=,904900000,125,5,4/5,-78,10.8,10,68.74,24.83,0,14195,1
2/2/2023 15:52,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-70,12,10,68.97,26.52,0,14334,1
2/2/2023 15:53,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-60,11.5,10,69.03,24.33,0,13681,1
2/2/2023 15:53,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-65,13,10,68.47,26.78,0,12322,1
2/2/2023 15:53,Mote05,qGEKMzA3fwE=,905300000,125,7,4/5,-69,10.2,10,68.92,25.27,0,181,1
2/2/2023 15:54,Mote03,qGEKNDQkZg8=,904900000,125,5,4/5,-69,11,10,69.01,26.5,0,14335,1
2/2/2023 15:54,Mote02,qGEKNDExiAs=,904900000,125,5,4/5,-62,13,10,68.5,26.84,0,12323,1
2/2/2023 15:54,Mote04,qGEKNDBFiQo=,904900000,125,5,4/5,-60,9.8,10,69.03,24.43,0,13682,1
2/2/2023 15:54,Mote01,qGEKMzVBjAY=,904100000,125,1,4/5,-83,11,10,68.81,24.99,0,14197,1
2/2/2023 15:54,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-72,12,10,68.95,25.38,0,182,1
2/2/2023 15:55,Mote03,qGEKNDQkZg8=,904100000,125,1,4/5,-69,9.5,10,68.99,26.61,0,14336,1
2/2/2023 15:55,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-59,10.8,10,69.03,24.53,0,13683,1
2/2/2023 15:55,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-64,9.5,10,68.94,25.3,0,183,1
2/2/2023 15:55,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-75,8.5,10,68.86,24.92,0,14198,1
2/2/2023 15:56,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-66,10,10,68.97,26.58,0,14337,1
2/2/2023 15:56,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-58,7.8,10,68.52,27.05,0,12325,1
2/2/2023 15:56,Mote04,qGEKNDBFiQo=,905300000,125,7,4/5,-61,9.5,10,69.03,24.56,0,13684,1
2/2/2023 15:56,Mote05,qGEKMzA3fwE=,905300000,125,7,4/5,-71,10.5,10,68.95,25.37,0,184,1
2/2/2023 15:57,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-84,10.2,10,68.85,24.94,0,14200,1
2/2/2023 15:57,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-60,7.8,10,69.03,24.56,0,13685,1
2/2/2023 15:58,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-64,9.5,10,68.54,26.69,0,14339,1
2/2/2023 15:58,Mote01,qGEKMzVBjAY=,905300000,125,7,4/5,-78,11.5,10,68.86,25.03,0,14201,1
2/2/2023 15:58,Mote02,qGEKNDExiAs=,904900000,125,5,4/5,-63,12.2,10,68.52,27.01,0,12327,1
2/2/2023 15:58,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-69,9,10,68.92,25.48,0,186,1
2/2/2023 15:59,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-93,11.8,10,68.81,25.14,0,14202,1
